,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
699,HEUBACHIND.NS,Heubach Colorants India Limited,EQ,14-JUN-1995,10
700,HEXATRADEX.NS,Hexa Tradex Limited,EQ,20-APR-2012,2
701,HFCL.NS,HFCL Limited,EQ,09-MAR-2011,1
702,HGINFRA.NS,H.G. Infra Engineering Limited,EQ,09-MAR-2018,10
703,HGS.NS,Hinduja Global Solutions Limited,EQ,19-JUN-2007,10
704,HIKAL.NS,Hikal Limited,EQ,14-FEB-2001,2
705,HIL.NS,HIL Limited,EQ,26-APR-1995,10
706,HILTON.NS,Hilton Metal Forging Limited,EQ,24-MAY-2007,10
707,HIMATSEIDE.NS,Himatsingka Seide Limited,EQ,08-FEB-1995,5
708,HINDALCO.NS,Hindalco Industries Limited,EQ,08-JAN-1997,1
709,HINDCOMPOS.NS,Hindustan Composites Limited,EQ,08-MAY-1996,5
710,HINDCON.NS,Hindcon Chemicals Limited,BE,05-JUL-2021,2
711,HINDCOPPER.NS,Hindustan Copper Limited,EQ,15-SEP-2010,5
712,HINDMOTORS.NS,Hindustan Motors Limited,EQ,21-FEB-2011,5
713,HINDOILEXP.NS,Hindustan Oil Exploration Company Limited,EQ,23-SEP-2003,10
714,HINDPETRO.NS,Hindustan Petroleum Corporation Limited,EQ,17-JUN-1998,10
715,HINDUNILVR.NS,Hindustan Unilever Limited,EQ,06-JUL-1995,1
716,HINDWAREAP.NS,Hindware Home Innovation Limited,EQ,26-DEC-2019,2
717,HINDZINC.NS,Hindustan Zinc Limited,EQ,21-NOV-2006,2
718,HIRECT.NS,Hind Rectifiers Limited,EQ,26-DEC-2006,2
719,HISARMETAL.NS,Hisar Metal Industries Limited,EQ,05-JAN-2017,10
720,HITECH.NS,Hi-Tech Pipes Limited,EQ,07-MAY-2018,1
721,HITECHCORP.NS,Hitech Corporation Limited,EQ,20-DEC-2007,10
722,HITECHGEAR.NS,The Hi-Tech Gears Limited,EQ,21-JAN-2002,10
723,HLEGLAS.NS,HLE Glascoat Limited,EQ,09-FEB-2023,2
724,HLVLTD.NS,HLV LIMITED,EQ,19-JUL-1995,2
725,HMAAGRO.NS,HMA Agro Industries Limited,EQ,04-JUL-2023,1
726,HMT.NS,HMT Limited,BZ,29-AUG-2003,10
727,HMVL.NS,Hindustan Media Ventures Limited,EQ,21-JUL-2010,10
728,HNDFDS.NS,Hindustan Foods Limited,EQ,06-JUN-2023,2
729,HOMEFIRST.NS,Home First Finance Company India Limited,EQ,03-FEB-2021,2
730,HONASA.NS,Honasa Consumer Limited,EQ,07-NOV-2023,10
731,HONAUT.NS,Honeywell Automation India Limited,EQ,18-JUL-2003,10
732,HONDAPOWER.NS,Honda India Power Products Limited,EQ,01-APR-2003,10
733,HOVS.NS,HOV Services Limited,BE,27-SEP-2006,10
734,HPAL.NS,HP Adhesives Limited,EQ,27-DEC-2021,2
735,HPIL.NS,Hindprakash Industries Limited,BE,07-NOV-2022,10
736,HPL.NS,HPL Electric & Power Limited,EQ,04-OCT-2016,10
737,HSCL.NS,Himadri Speciality Chemical Limited,BE,02-MAR-2007,1
738,HTMEDIA.NS,HT Media Limited,EQ,01-SEP-2005,2
739,HUBTOWN.NS,Hubtown Limited,BE,07-FEB-2007,10
740,HUDCO.NS,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,10
741,HUHTAMAKI.NS,Huhtamaki India Limited,EQ,01-OCT-2004,2
742,HYBRIDFIN.NS,Hybrid Financial Services Limited,BE,05-DEC-2022,5
743,IBREALEST.NS,Indiabulls Real Estate Limited,EQ,23-MAR-2007,2
744,IBULHSGFIN.NS,Indiabulls Housing Finance Limited,EQ,23-JUL-2013,2
745,ICDSLTD.NS,ICDS Limited,BE,17-NOV-1999,10
746,ICEMAKE.NS,Ice Make Refrigeration Limited,EQ,12-OCT-2020,10
747,ICICIBANK.NS,ICICI Bank Limited,EQ,17-SEP-1997,2
748,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017,10
749,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,10
750,ICIL.NS,Indo Count Industries Limited,EQ,12-SEP-2005,2
751,ICRA.NS,ICRA Limited,EQ,13-APR-2007,10
752,IDBI.NS,IDBI Bank Limited,EQ,20-SEP-1995,10
753,IDEA.NS,Vodafone Idea Limited,EQ,09-MAR-2007,10
754,IDEAFORGE.NS,Ideaforge Technology Limited,EQ,07-JUL-2023,10
755,IDFC.NS,IDFC Limited,EQ,12-AUG-2005,10
756,IDFCFIRSTB.NS,IDFC First Bank Limited,EQ,06-NOV-2015,10
757,IEL.NS,Indiabulls Enterprises Limited,EQ,27-DEC-2022,2
758,IEX.NS,Indian Energy Exchange Limited,EQ,23-OCT-2017,1
759,IFBAGRO.NS,IFB Agro Industries Limited,EQ,03-APR-1996,10
760,IFBIND.NS,IFB Industries Limited,EQ,29-MAR-1995,10
761,IFCI.NS,IFCI Limited,EQ,26-APR-1995,10
762,IFGLEXPOR.NS,IFGL Refractories Limited,EQ,14-NOV-2017,10
763,IGARASHI.NS,Igarashi Motors India Limited,EQ,09-OCT-2003,10
764,IGL.NS,Indraprastha Gas Limited,EQ,26-DEC-2003,2
765,IGPL.NS,IG Petrochemicals Limited,EQ,29-JAN-2007,10
766,IIFL.NS,IIFL Finance Limited,EQ,17-MAY-2005,2
767,IIFLSEC.NS,IIFL Securities Limited,EQ,20-SEP-2019,2
768,IITL.NS,Industrial Investment Trust Limited,BE,17-AUG-2010,10
769,IKIO.NS,IKIO Lighting Limited,EQ,16-JUN-2023,10
770,IL&FSENGG.NS,IL&FS Engineering and Construction Company Limited,BZ,25-OCT-2007,10
771,IL&FSTRANS.NS,IL&FS Transportation Networks Limited,BZ,30-MAR-2010,10
772,IMAGICAA.NS,Imagicaaworld Entertainment Limited,EQ,06-APR-2015,10
773,IMFA.NS,Indian Metals & Ferro Alloys Limited,EQ,23-JUL-2010,10
774,IMPAL.NS,India Motor Parts and Accessories Limited,EQ,07-OCT-2005,10
775,IMPEXFERRO.NS,Impex Ferro Tech Limited,BE,03-FEB-2005,10
776,INCREDIBLE.NS,INCREDIBLE INDUSTRIES LIMITED,BE,01-JUL-2016,10
777,INDBANK.NS,Indbank Merchant Banking Services Limited,EQ,08-OCT-2008,10
778,INDHOTEL.NS,The Indian Hotels Company Limited,EQ,03-JUL-1996,1
779,INDIACEM.NS,The India Cements Limited,EQ,31-MAY-2000,10
780,INDIAGLYCO.NS,India Glycols Limited,EQ,01-JUL-2005,10
781,INDIAMART.NS,Indiamart Intermesh Limited,EQ,04-JUL-2019,10
782,INDIANB.NS,Indian Bank,EQ,01-MAR-2007,10
783,INDIANCARD.NS,Indian Card Clothing Company Limited,EQ,08-JAN-1997,10
784,INDIANHUME.NS,Indian Hume Pipe Company Limited,EQ,30-AUG-1995,2
785,INDIASHLTR.NS,India Shelter Finance Corporation Limited,EQ,20-DEC-2023,5
786,INDIGO.NS,InterGlobe Aviation Limited,EQ,10-NOV-2015,10
787,INDIGOPNTS.NS,Indigo Paints Limited,EQ,02-FEB-2021,10
788,INDNIPPON.NS,India Nippon Electricals Limited,EQ,07-MAY-1997,5
789,INDOAMIN.NS,Indo Amines Limited,EQ,29-APR-2022,5
790,INDOBORAX.NS,Indo Borax & Chemicals Limited,EQ,29-MAR-2022,1
791,INDOCO.NS,Indoco Remedies Limited,EQ,14-JAN-2005,2
792,INDORAMA.NS,Indo Rama Synthetics (India) Limited,EQ,20-JUN-2003,10
793,INDOSTAR.NS,IndoStar Capital Finance Limited,BE,21-MAY-2018,10
794,INDOTECH.NS,Indo Tech Transformers Limited,EQ,16-MAR-2006,10
795,INDOTHAI.NS,Indo Thai Securities Limited,BE,02-NOV-2011,10
796,INDOWIND.NS,Indowind Energy Limited,BE,14-SEP-2007,10
797,INDRAMEDCO.NS,Indraprastha Medical Corporation Limited,BE,17-APR-1997,10
798,INDSWFTLAB.NS,Ind-Swift Laboratories Limited,EQ,02-JUL-1997,10
799,INDSWFTLTD.NS,Ind-Swift Limited,EQ,18-OCT-2004,2
800,INDTERRAIN.NS,Indian Terrain Fashions Limited,EQ,11-MAR-2011,2
801,INDUSINDBK.NS,IndusInd Bank Limited,EQ,28-JAN-1998,10
802,INDUSTOWER.NS,Indus Towers Limited,EQ,28-DEC-2012,10
803,INFIBEAM.NS,Infibeam Avenues Limited,EQ,04-APR-2016,1
804,INFOBEAN.NS,InfoBeans Technologies Limited,EQ,15-JUL-2019,10
805,INFOMEDIA.NS,Infomedia Press Limited,BE,12-OCT-2006,10
806,INFY.NS,Infosys Limited,EQ,08-FEB-1995,5
807,INGERRAND.NS,Ingersoll Rand (India) Limited,EQ,15-APR-1999,10
808,INNOVACAP.NS,Innova Captab Limited,EQ,29-DEC-2023,10
809,INOXGREEN.NS,Inox Green Energy Services Limited,BE,23-NOV-2022,10
810,INOXINDIA.NS,INOX India Limited,EQ,21-DEC-2023,2
811,INOXWIND.NS,Inox Wind Limited,EQ,09-APR-2015,10
812,INSECTICID.NS,Insecticides (India) Limited,EQ,30-MAY-2007,10
813,INTELLECT.NS,Intellect Design Arena Limited,EQ,18-DEC-2014,5
814,INTENTECH.NS,Intense Technologies Limited,BE,23-MAR-2017,2
815,INTLCONV.NS,International Conveyors Limited,EQ,16-SEP-2021,1
816,INVENTURE.NS,Inventure Growth & Securities Limited,BE,04-AUG-2011,1
817,IOB.NS,Indian Overseas Bank,EQ,07-DEC-2000,10
818,IOC.NS,Indian Oil Corporation Limited,EQ,24-JUL-1996,10
819,IOLCP.NS,IOL Chemicals and Pharmaceuticals Limited,EQ,08-NOV-2010,10
820,IONEXCHANG.NS,ION Exchange (India) Limited,EQ,22-FEB-2022,1
821,IPCALAB.NS,IPCA Laboratories Limited,EQ,08-FEB-1995,1
822,IPL.NS,India Pesticides Limited,EQ,05-JUL-2021,1
823,IRB.NS,IRB Infrastructure Developers Limited,EQ,25-FEB-2008,1
824,IRCON.NS,Ircon International Limited,EQ,28-SEP-2018,2
825,IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited,EQ,14-OCT-2019,2
826,IREDA.NS,Indian Renewable Energy Development Agency Limited,EQ,29-NOV-2023,10
827,IRFC.NS,Indian Railway Finance Corporation Limited,EQ,29-JAN-2021,10
828,IRIS.NS,Iris Business Services Limited,EQ,08-NOV-2021,10
829,IRISDOREME.NS,Iris Clothings Limited,EQ,22-FEB-2021,2
830,IRMENERGY.NS,IRM Energy Limited,EQ,26-OCT-2023,10
831,ISEC.NS,ICICI Securities Limited,EQ,04-APR-2018,5
832,ISFT.NS,Intrasoft Technologies Limited,EQ,12-APR-2010,10
833,ISGEC.NS,Isgec Heavy Engineering Limited,EQ,05-MAY-2021,1
834,ISMTLTD.NS,ISMT Limited,EQ,28-AUG-2007,5
835,ITC.NS,ITC Limited,EQ,23-AUG-1995,1
836,ITDC.NS,India Tourism Development Corporation Limited,EQ,30-DEC-2016,10
837,ITDCEM.NS,ITD Cementation India Limited,EQ,10-FEB-1999,1
838,ITI.NS,ITI Limited,EQ,15-SEP-2003,10
839,IVC.NS,IL&FS Investment Managers Limited,BE,15-SEP-1999,2
840,IVP.NS,IVP Limited,BE,13-SEP-1995,10
841,IWEL.NS,Inox Wind Energy Limited,BE,11-JUN-2021,10
842,IZMO.NS,IZMO Limited,BE,05-FEB-2007,10
843,J&KBANK.NS,The Jammu & Kashmir Bank Limited,EQ,22-JUL-1998,1
844,JAGRAN.NS,Jagran Prakashan Limited,EQ,22-FEB-2006,2
845,JAGSNPHARM.NS,Jagsonpal Pharmaceuticals Limited,EQ,01-MAR-2000,5
846,JAIBALAJI.NS,Jai Balaji Industries Limited,BE,09-DEC-2003,10
847,JAICORPLTD.NS,Jai Corp Limited,EQ,26-NOV-1997,1
848,JAIPURKURT.NS,Nandani Creation Limited,EQ,02-SEP-2021,10
849,JAMNAAUTO.NS,Jamna Auto Industries Limited,EQ,10-DEC-2010,1
850,JASH.NS,Jash Engineering Limited,EQ,30-OCT-2019,10
851,JAYAGROGN.NS,Jayant Agro Organics Limited,EQ,17-APR-1996,5
852,JAYBARMARU.NS,Jay Bharat Maruti Limited,EQ,03-JAN-1996,2
853,JAYNECOIND.NS,Jayaswal Neco Industries Limited,EQ,10-MAY-1995,10
854,JAYSREETEA.NS,Jayshree Tea & Industries Limited,EQ,15-FEB-1995,5
855,JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Limited,EQ,29-APR-2003,1
856,JBMA.NS,JBM Auto Limited,EQ,17-DEC-2004,2
857,JCHAC.NS,Johnson Controls - Hitachi Air Conditioning India Limited,EQ,03-JAN-2000,10
858,JETAIRWAYS.NS,Jet Airways (India) Limited,BZ,14-MAR-2005,10
859,JETFREIGHT.NS,Jet Freight Logistics Limited,EQ,21-DEC-2021,5
860,JHS.NS,JHS Svendgaard Laboratories Limited,EQ,21-OCT-2006,10
861,JINDALPHOT.NS,Jindal Photo Limited,EQ,07-APR-2005,10
862,JINDALPOLY.NS,Jindal Poly Films Limited,EQ,21-JAN-2002,10
863,JINDALSAW.NS,Jindal Saw Limited,EQ,29-APR-2003,2
864,JINDALSTEL.NS,Jindal Steel & Power Limited,EQ,29-DEC-1999,1
865,JINDRILL.NS,Jindal Drilling And Industries Limited,EQ,22-DEC-2006,5
866,JINDWORLD.NS,Jindal Worldwide Limited,EQ,25-NOV-2010,1
867,JIOFIN.NS,Jio Financial Services Limited,EQ,21-AUG-2023,10
868,JISLDVREQS.NS,Jain Irrigation Systems Limited,EQ,30-NOV-2011,2
869,JISLJALEQS.NS,Jain Irrigation Systems Limited,EQ,13-AUG-2001,2
870,JITFINFRA.NS,JITF Infralogistics Limited,BE,27-FEB-2017,2
871,JKCEMENT.NS,JK Cement Limited,EQ,14-MAR-2006,10
872,JKIL.NS,J.Kumar Infraprojects Limited,EQ,12-FEB-2008,5
873,JKLAKSHMI.NS,JK Lakshmi Cement Limited,EQ,19-JUN-2006,5
874,JKPAPER.NS,JK Paper Limited,EQ,16-JUN-2005,10
875,JKTYRE.NS,JK Tyre & Industries Limited,EQ,19-MAR-2007,2
876,JLHL.NS,Jupiter Life Line Hospitals Limited,EQ,18-SEP-2023,10
877,JMA.NS,Jullundur Motor Agency (Delhi) Limited,BE,16-MAR-2015,2
878,JMFINANCIL.NS,JM Financial Limited,EQ,10-OCT-2006,1
879,JOCIL.NS,Jocil Limited,EQ,08-OCT-2008,10
880,JPASSOCIAT.NS,Jaiprakash Associates Limited,EQ,14-JUN-2004,2
881,JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited,EQ,11-NOV-2013,10
882,JPPOWER.NS,Jaiprakash Power Ventures Limited,BE,18-APR-2005,10
883,JSFB.NS,Jana Small Finance Bank Limited,EQ,14-FEB-2024,10
884,JSL.NS,Jindal Stainless Limited,EQ,17-NOV-2003,2
885,JSWENERGY.NS,JSW Energy Limited,EQ,04-JAN-2010,10
886,JSWHL.NS,JSW Holdings Limited,EQ,21-JUN-2005,10
887,JSWINFRA.NS,JSW Infrastructure Limited,EQ,03-OCT-2023,2
888,JSWSTEEL.NS,JSW Steel Limited,EQ,23-MAR-2005,1
889,JTEKTINDIA.NS,Jtekt India Limited,EQ,12-JAN-2004,1
890,JTLIND.NS,JTL INDUSTRIES LIMITED,EQ,12-JUN-2023,2
891,JUBLFOOD.NS,Jubilant Foodworks Limited,EQ,08-FEB-2010,2
892,JUBLINDS.NS,Jubilant Industries Limited,EQ,14-FEB-2011,10
893,JUBLINGREA.NS,Jubilant Ingrevia Limited,EQ,19-MAR-2021,1
894,JUBLPHARMA.NS,Jubilant Pharmova Limited,EQ,16-JUN-2003,1
895,JUNIPER.NS,Juniper Hotels Limited,EQ,28-FEB-2024,10
896,JUSTDIAL.NS,Just Dial Limited,EQ,05-JUN-2013,10
897,JWL.NS,Jupiter Wagons Limited,EQ,18-OCT-2010,10
898,JYOTHYLAB.NS,Jyothy Labs Limited,EQ,19-DEC-2007,1
899,JYOTICNC.NS,Jyoti CNC Automation Limited,EQ,16-JAN-2024,2
900,JYOTISTRUC.NS,Jyoti Structures Limited,BE,19-JUL-1995,2
901,KABRAEXTRU.NS,Kabra Extrusion Technik Limited,EQ,06-SEP-1995,5
902,KAJARIACER.NS,Kajaria Ceramics Limited,EQ,01-JUN-2004,1
903,KAKATCEM.NS,Kakatiya Cement Sugar & Industries Limited,EQ,13-DEC-1995,10
904,KALAMANDIR.NS,Sai Silks (Kalamandir) Limited,EQ,27-SEP-2023,2
905,KALYANI.NS,Kalyani Commercials Limited,BE,13-FEB-2017,10
906,KALYANIFRG.NS,Kalyani Forge Limited,EQ,20-DEC-2007,10
907,KALYANKJIL.NS,Kalyan Jewellers India Limited,EQ,26-MAR-2021,10
908,KAMATHOTEL.NS,Kamat Hotels (I) Limited,EQ,29-MAY-1996,10
909,KAMDHENU.NS,Kamdhenu Limited,EQ,09-MAY-2006,10
910,KAMOPAINTS.NS,Kamdhenu Ventures Limited,EQ,24-JAN-2023,5
911,KANANIIND.NS,Kanani Industries Limited,BE,14-DEC-2011,1
912,KANORICHEM.NS,Kanoria Chemicals & Industries Limited,EQ,08-FEB-1995,5
913,KANPRPLA.NS,Kanpur Plastipack Limited,EQ,01-JAN-2021,10
914,KANSAINER.NS,Kansai Nerolac Paints Limited,EQ,15-SEP-2003,1
915,KAPSTON.NS,Kapston Services Limited,EQ,27-MAY-2020,10
916,KARMAENG.NS,Karma Energy Limited,BE,28-JUN-2011,10
917,KARURVYSYA.NS,Karur Vysya Bank Limited,EQ,26-JUL-2000,2
918,KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited,EQ,14-DEC-2007,1000
919,KAVVERITEL.NS,Kavveri Telecom Products Limited,BE,29-JAN-2008,10
920,KAYA.NS,Kaya Limited,EQ,14-AUG-2015,10
921,KAYNES.NS,Kaynes Technology India Limited,EQ,22-NOV-2022,10
922,KBCGLOBAL.NS,KBC Global Limited,EQ,02-APR-2018,1
923,KCP.NS,KCP Limited,EQ,09-APR-1997,1
924,KCPSUGIND.NS,KCP Sugar and Industries Corporation Limited,EQ,11-JUN-1997,1
925,KDDL.NS,KDDL Limited,EQ,23-MAR-2016,10
926,KEC.NS,KEC International Limited,EQ,10-MAR-2006,2
927,KECL.NS,Kirloskar Electric Company Limited,EQ,09-MAR-2010,10
928,KEEPLEARN.NS,DSJ Keep Learning Limited,BE,01-MAR-1995,1
929,KEI.NS,KEI Industries Limited,EQ,23-MAR-2006,2
930,KELLTONTEC.NS,Kellton Tech Solutions Limited,EQ,02-MAR-2016,5
931,KERNEX.NS,Kernex Microsystems (India) Limited,BE,20-DEC-2005,10
932,KESORAMIND.NS,Kesoram Industries Limited,EQ,06-SEP-1995,10
933,KEYFINSERV.NS,Keynote Financial Services Limited,EQ,26-JUN-1996,10
934,KFINTECH.NS,Kfin Technologies Limited,EQ,29-DEC-2022,10
935,KHADIM.NS,Khadim India Limited,EQ,14-NOV-2017,10
936,KHAICHEM.NS,Khaitan Chemicals & Fertilizers Limited,EQ,30-OCT-2020,1
937,KHAITANLTD.NS,Khaitan (India) Limited,EQ,20-DEC-1995,10
938,KHANDSE.NS,Khandwala Securities Limited,EQ,07-FEB-2001,10
939,KICL.NS,Kalyani Investment Company Limited,EQ,14-JAN-2011,10
940,KILITCH.NS,Kilitch Drugs (India) Limited,EQ,29-SEP-2010,10
941,KIMS.NS,Krishna Institute of Medical Sciences Limited,EQ,28-JUN-2021,10
942,KINGFA.NS,Kingfa Science & Technology (India) Limited,EQ,15-NOV-2016,10
943,KIOCL.NS,KIOCL Limited,EQ,29-NOV-2016,10
944,KIRIINDUS.NS,Kiri Industries Limited,EQ,22-APR-2008,10
945,KIRLOSBROS.NS,Kirloskar Brothers Limited,EQ,20-APR-2010,2
946,KIRLOSENG.NS,Kirloskar Oil Engines Limited,EQ,24-DEC-2010,2
947,KIRLOSIND.NS,Kirloskar Industries Limited,EQ,24-JUN-2010,10
948,KIRLPNU.NS,Kirloskar Pneumatic Company Limited,EQ,26-APR-2023,2
949,KITEX.NS,Kitex Garments Limited,EQ,25-SEP-2012,1
950,KKCL.NS,Kewal Kiran Clothing Limited,EQ,13-APR-2006,10
951,KMSUGAR.NS,K.M.Sugar Mills Limited,EQ,31-MAY-2007,2
952,KNRCON.NS,KNR Constructions Limited,EQ,18-FEB-2008,2
953,KOHINOOR.NS,Kohinoor Foods Limited,BE,20-OCT-1999,10
954,KOKUYOCMLN.NS,Kokuyo Camlin Limited,EQ,28-JUL-2008,1
955,KOLTEPATIL.NS,Kolte - Patil Developers Limited,EQ,13-DEC-2007,10
956,KOPRAN.NS,Kopran Limited,EQ,09-JUN-1999,10
957,KOTAKBANK.NS,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,5
958,KOTARISUG.NS,Kothari Sugars And Chemicals Limited,EQ,13-DEC-2004,10
959,KOTHARIPET.NS,Kothari Petrochemicals Limited,EQ,02-NOV-1996,10
960,KOTHARIPRO.NS,Kothari Products Limited,EQ,03-JUN-1998,10
961,KPIGREEN.NS,KPI Green Energy Limited,EQ,27-JUL-2021,10
962,KPIL.NS,Kalpataru Projects International Limited,EQ,15-DEC-2000,2
963,KPITTECH.NS,KPIT Technologies Limited,EQ,22-APR-2019,10
964,KPRMILL.NS,K.P.R. Mill Limited,EQ,28-AUG-2007,1
965,KRBL.NS,KRBL Limited,EQ,21-JAN-2002,1
966,KREBSBIO.NS,Krebs Biochemicals and Industries Limited,EQ,03-JAN-1996,10
967,KRIDHANINF.NS,Kridhan Infra Limited,BE,11-DEC-2015,2
968,KRISHANA.NS,Krishana Phoschem Limited,EQ,22-AUG-2019,10
969,KRITI.NS,Kriti Industries (India) Limited,EQ,01-NOV-2021,1
970,KRITIKA.NS,Kritika Wires Limited,BE,04-MAY-2022,2
971,KRITINUT.NS,Kriti Nutrients Limited,EQ,07-OCT-2022,1
972,KRSNAA.NS,Krsnaa Diagnostics Limited,EQ,16-AUG-2021,5
973,KSB.NS,Ksb Limited,EQ,08-FEB-1995,10
974,KSCL.NS,Kaveri Seed Company Limited,EQ,04-OCT-2007,2
975,KSHITIJPOL.NS,Kshitij Polyline Limited,BE,27-JUL-2022,2
976,KSL.NS,Kalyani Steels Limited,EQ,19-MAY-2010,5
977,KSOLVES.NS,Ksolves India Limited,EQ,23-SEP-2022,10
978,KTKBANK.NS,The Karnataka Bank Limited,EQ,10-MAY-2000,10
979,KUANTUM.NS,Kuantum Papers Limited,EQ,23-OCT-2019,1
980,L&TFH.NS,L&T Finance Holdings Limited,EQ,12-AUG-2011,10
981,LAGNAM.NS,Lagnam Spintex Limited,BE,30-SEP-2021,10
982,LAKPRE.NS,Lakshmi Precision Screws Limited,BZ,26-SEP-2006,10
983,LAL.NS,Lorenzini Apparels Limited,BE,10-APR-2023,10
984,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,EQ,23-DEC-2015,10
985,LAMBODHARA.NS,Lambodhara Textiles Limited,EQ,04-FEB-2015,5
986,LANDMARK.NS,Landmark Cars Limited,EQ,23-DEC-2022,5
987,LAOPALA.NS,La Opala RG Limited,EQ,16-MAR-2007,2
988,LASA.NS,Lasa Supergenerics Limited,EQ,21-SEP-2017,10
989,LATENTVIEW.NS,Latent View Analytics Limited,EQ,23-NOV-2021,1
990,LATTEYS.NS,Latteys Industries Limited,BE,23-MAY-2023,2
991,LAURUSLABS.NS,Laurus Labs Limited,EQ,19-DEC-2016,2
992,LAXMICOT.NS,Laxmi Cotspin Limited,EQ,12-NOV-2021,10
993,LAXMIMACH.NS,Lakshmi Machine Works Limited,EQ,29-MAR-1995,10
994,LCCINFOTEC.NS,LCC Infotech Limited,BE,02-MAR-2000,2
995,LEMONTREE.NS,Lemon Tree Hotels Limited,EQ,09-APR-2018,10
996,LEXUS.NS,Lexus Granito (India) Limited,EQ,13-MAR-2023,10
997,LFIC.NS,Lakshmi Finance & Industrial Corporation Limited,BE,15-APR-2015,10
998,LGBBROSLTD.NS,LG Balakrishnan & Bros Limited,EQ,30-MAR-2010,10
999,LGBFORGE.NS,LGB Forge Limited,EQ,01-AUG-2008,1
1000,LGHL.NS,Laxmi Goldorna House Limited,EQ,10-NOV-2023,10
1001,LIBAS.NS,Libas Consumer Products Limited,EQ,23-JUL-2019,10
1002,LIBERTSHOE.NS,Liberty Shoes Limited,BE,27-SEP-1995,10
1003,LICHSGFIN.NS,LIC Housing Finance Limited,EQ,29-JUL-1998,2
1004,LICI.NS,Life Insurance Corporation Of India,EQ,17-MAY-2022,10
1005,LIKHITHA.NS,Likhitha Infrastructure Limited,EQ,15-OCT-2020,5
1006,LINC.NS,Linc Limited,EQ,09-MAR-2015,10
1007,LINCOLN.NS,Lincoln Pharmaceuticals Limited,EQ,17-DEC-2015,10
1008,LINDEINDIA.NS,Linde India Limited,EQ,16-JUN-1999,10
1009,LLOYDSENGG.NS,LLOYDS ENGINEERING WORKS LIMITED,EQ,18-JUL-2016,1
1010,LLOYDSME.NS,Lloyds Metals And Energy Limited,EQ,17-JUL-2023,1
1011,LODHA.NS,Macrotech Developers Limited,EQ,19-APR-2021,10
1012,LOKESHMACH.NS,Lokesh Machines Limited,EQ,05-MAY-2006,10
1013,LORDSCHLO.NS,Lords Chloro Alkali Limited,EQ,28-AUG-2023,10
1014,LOTUSEYE.NS,Lotus Eye Hospital and Institute Limited,EQ,11-JUL-2008,10
1015,LOVABLE.NS,Lovable Lingerie Limited,EQ,24-MAR-2011,10
1016,LOYALTEX.NS,Loyal Textile Mills Limited,EQ,11-AUG-2022,10
1017,LPDC.NS,Landmark Property Development Company Limited,EQ,12-AUG-2008,1
1018,LT.NS,Larsen & Toubro Limited,EQ,23-JUN-2004,2
1019,LTFOODS.NS,LT Foods Limited,EQ,18-DEC-2006,1
1020,LTIM.NS,LTIMindtree Limited,EQ,21-JUL-2016,1
1021,LTTS.NS,L&T Technology Services Limited,EQ,23-SEP-2016,2
1022,LUMAXIND.NS,Lumax Industries Limited,EQ,06-SEP-1995,10
1023,LUMAXTECH.NS,Lumax Auto Technologies Limited,EQ,16-JAN-2007,2
1024,LUPIN.NS,Lupin Limited,EQ,10-SEP-2001,2
1025,LUXIND.NS,Lux Industries Limited,EQ,30-NOV-2015,2
1026,LXCHEM.NS,Laxmi Organic Industries Limited,EQ,25-MAR-2021,2
1027,LYKALABS.NS,Lyka Labs Limited,EQ,08-FEB-1995,10
1028,LYPSAGEMS.NS,Lypsa Gems & Jewellery Limited,EQ,05-NOV-2013,10
1029,M&M.NS,Mahindra & Mahindra Limited,EQ,03-JAN-1996,5
1030,M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,EQ,17-MAR-2006,2
1031,MAANALU.NS,Maan Aluminium Limited,EQ,22-OCT-2007,5
1032,MACPOWER.NS,Macpower CNC Machines Limited,BE,19-AUG-2020,10
1033,MADHAV.NS,Madhav Marbles and Granites Limited,BE,20-DEC-2007,10
1034,MADHUCON.NS,Madhucon Projects Limited,BE,05-OCT-2006,1
1035,MADRASFERT.NS,Madras Fertilizers Limited,EQ,25-JUL-1997,10
1036,MAGADSUGAR.NS,Magadh Sugar & Energy Limited,EQ,28-JUL-2017,10
1037,MAGNUM.NS,Magnum Ventures Limited,EQ,20-SEP-2007,10
1038,MAHABANK.NS,Bank of Maharashtra,EQ,12-APR-2004,10
1039,MAHAPEXLTD.NS,Maha Rashtra Apex Corporation Limited,EQ,21-JAN-1998,10
1040,MAHASTEEL.NS,Mahamaya Steel Industries Limited,BE,01-JUL-2016,10
1041,MAHEPC.NS,Mahindra EPC Irrigation Limited,EQ,14-FEB-2020,10
1042,MAHESHWARI.NS,Maheshwari Logistics Limited,EQ,15-APR-2019,10
