,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
108,APARINDS.NS,Apar Industries Limited,EQ,12-JUL-2004,10
109,APCL.NS,Anjani Portland Cement Limited,EQ,10-APR-2017,10
110,APCOTEXIND.NS,Apcotex Industries Limited,EQ,06-SEP-1995,2
111,APEX.NS,Apex Frozen Foods Limited,EQ,04-SEP-2017,10
112,APLAPOLLO.NS,APL Apollo Tubes Limited,EQ,14-DEC-2011,2
113,APLLTD.NS,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2
114,APOLLO.NS,Apollo Micro Systems Limited,BE,22-JAN-2018,1
115,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5
116,APOLLOPIPE.NS,Apollo Pipes Limited,EQ,11-NOV-2019,10
117,APOLLOTYRE.NS,Apollo Tyres Limited,EQ,31-MAY-1995,1
118,APOLSINHOT.NS,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5
119,APTECHT.NS,Aptech Limited,EQ,27-SEP-2002,10
120,APTUS.NS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2
121,ARCHIDPLY.NS,Archidply Industries Limited,EQ,04-JUL-2008,10
122,ARCHIES.NS,Archies Limited,EQ,02-SEP-1998,2
123,ARE&M.NS,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003,1
124,ARENTERP.NS,Rajdarshan Industries Limited,EQ,18-OCT-1995,10
125,ARIES.NS,Aries Agro Limited,EQ,11-JAN-2008,10
126,ARIHANTCAP.NS,Arihant Capital Markets Limited,EQ,15-JUN-2021,1
127,ARIHANTSUP.NS,Arihant Superstructures Limited,EQ,28-MAR-2017,10
128,ARMANFIN.NS,Arman Financial Services Limited,EQ,14-JUN-2016,10
129,AROGRANITE.NS,Aro Granite Industries Limited,EQ,24-APR-2007,10
130,ARROWGREEN.NS,Arrow Greentech Limited,EQ,21-MAY-2015,10
131,ARSHIYA.NS,Arshiya Limited,BE,14-DEC-2009,2
132,ARSSINFRA.NS,ARSS Infrastructure Projects Limited,BE,03-MAR-2010,10
133,ARTEMISMED.NS,Artemis Medicare Services Limited,EQ,23-JAN-2020,1
134,ARTNIRMAN.NS,Art Nirman Limited,BE,18-OCT-2021,10
135,ARVEE.NS,Arvee Laboratories (India) Limited,BE,22-MAR-2021,10
136,ARVIND.NS,Arvind Limited,EQ,08-FEB-1995,10
137,ARVINDFASN.NS,Arvind Fashions Limited,EQ,08-MAR-2019,4
138,ARVSMART.NS,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10
139,ASAHIINDIA.NS,Asahi India Glass Limited,EQ,18-MAR-1998,1
140,ASAHISONG.NS,Asahi Songwon Colors Limited,EQ,29-AUG-2011,10
141,ASAL.NS,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10
142,ASALCBR.NS,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020,10
143,ASHAPURMIN.NS,Ashapura Minechem Limited,EQ,20-SEP-1995,2
144,ASHIANA.NS,Ashiana Housing Limited,EQ,29-JUN-2011,2
145,ASHIMASYN.NS,Ashima Limited,EQ,27-JUL-1995,10
146,ASHOKA.NS,Ashoka Buildcon Limited,EQ,14-OCT-2010,5
147,ASHOKAMET.NS,Ashoka Metcast Limited,BE,27-JUN-2023,10
148,ASHOKLEY.NS,Ashok Leyland Limited,EQ,25-MAY-1995,1
149,ASIANENE.NS,Asian Energy Services Limited,EQ,09-DEC-2021,10
150,ASIANHOTNR.NS,Asian Hotels (North) Limited,BE,07-APR-2010,10
151,ASIANPAINT.NS,Asian Paints Limited,EQ,31-MAY-1995,1
152,ASIANTILES.NS,Asian Granito India Limited,EQ,23-AUG-2007,10
153,ASKAUTOLTD.NS,ASK Automotive Limited,EQ,15-NOV-2023,2
154,ASMS.NS,Bartronics India Limited,EQ,09-FEB-2023,1
155,ASPINWALL.NS,Aspinwall and Company Limited,EQ,14-JUN-2016,10
156,ASTEC.NS,Astec LifeSciences Limited,EQ,25-NOV-2009,10
157,ASTERDM.NS,Aster DM Healthcare Limited,EQ,26-FEB-2018,10
158,ASTRAL.NS,Astral Limited,EQ,20-MAR-2007,1
159,ASTRAMICRO.NS,Astra Microwave Products Limited,EQ,01-NOV-2004,2
160,ASTRAZEN.NS,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2
161,ASTRON.NS,Astron Paper & Board Mill Limited,BE,29-DEC-2017,10
162,ATALREAL.NS,Atal Realtech Limited,EQ,12-MAY-2023,2
163,ATAM.NS,Atam Valves Limited,EQ,10-MAY-2023,10
164,ATFL.NS,Agro Tech Foods Limited,EQ,06-DEC-2002,10
165,ATGL.NS,Adani Total Gas Limited,EQ,05-NOV-2018,1
166,ATL.NS,Allcargo Terminals Limited,EQ,10-AUG-2023,2
167,ATLANTAA.NS,ATLANTAA LIMITED,BE,25-SEP-2006,2
168,ATUL.NS,Atul Limited,EQ,06-MAY-1998,10
169,ATULAUTO.NS,Atul Auto Limited,EQ,26-JUN-2013,5
170,AUBANK.NS,AU Small Finance Bank Limited,EQ,10-JUL-2017,10
171,AURIONPRO.NS,Aurionpro Solutions Limited,BE,25-OCT-2005,10
172,AUROPHARMA.NS,Aurobindo Pharma Limited,EQ,19-JUL-2000,1
173,AURUM.NS,Aurum PropTech Limited,BE,19-AUG-2015,5
174,AUSOMENT.NS,Ausom Enterprise Limited,EQ,17-APR-1996,10
175,AUTOAXLES.NS,Automotive Axles Limited,EQ,29-MAY-2003,10
176,AUTOIND.NS,Autoline Industries Limited,EQ,31-JAN-2007,10
177,AVADHSUGAR.NS,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,10
178,AVALON.NS,Avalon Technologies Limited,EQ,18-APR-2023,2
179,AVANTIFEED.NS,Avanti Feeds Limited,EQ,15-APR-2015,1
180,AVG.NS,AVG Logistics Limited,EQ,12-MAY-2023,10
181,AVONMORE.NS,Avonmore Capital & Management Services Limited,EQ,04-JAN-2023,10
182,AVROIND.NS,AVRO INDIA LIMITED,EQ,07-APR-2022,10
183,AVTNPL.NS,AVT Natural Products Limited,EQ,10-JAN-2007,1
184,AWHCL.NS,Antony Waste Handling Cell Limited,EQ,01-JAN-2021,5
185,AWL.NS,Adani Wilmar Limited,EQ,08-FEB-2022,1
186,AXISBANK.NS,Axis Bank Limited,EQ,16-NOV-1998,2
187,AXISCADES.NS,AXISCADES Technologies Limited,EQ,21-DEC-2000,5
188,AXITA.NS,Axita Cotton Limited,EQ,21-JUN-2022,1
189,AYMSYNTEX.NS,AYM Syntex Limited,EQ,14-AUG-2015,10
190,AZAD.NS,Azad Engineering Limited,EQ,28-DEC-2023,2
191,BAFNAPH.NS,Bafna Pharmaceuticals Limited,BE,27-FEB-2020,10
192,BAGFILMS.NS,B.A.G Films and Media Limited,BE,17-OCT-2003,2
193,BAIDFIN.NS,Baid Finserv Limited,EQ,20-JAN-2023,2
194,BAJAJ-AUTO.NS,Bajaj Auto Limited,EQ,26-MAY-2008,10
195,BAJAJCON.NS,Bajaj Consumer Care Limited,EQ,18-AUG-2010,1
196,BAJAJELEC.NS,Bajaj Electricals Limited,EQ,02-NOV-2007,2
197,BAJAJFINSV.NS,Bajaj Finserv Limited,EQ,26-MAY-2008,1
198,BAJAJHCARE.NS,Bajaj Healthcare Limited,EQ,25-NOV-2021,5
199,BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1
200,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10
201,BAJEL.NS,Bajel Projects Limited,EQ,19-DEC-2023,2
202,BAJFINANCE.NS,Bajaj Finance Limited,EQ,01-APR-2003,2
203,BALAJITELE.NS,Balaji Telefilms Limited,EQ,22-NOV-2000,2
204,BALAMINES.NS,Balaji Amines Limited,EQ,05-APR-2007,2
205,BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED,EQ,30-NOV-2015,10
206,BALKRISHNA.NS,Balkrishna Paper Mills Limited,BE,28-JUL-2015,10
207,BALKRISIND.NS,Balkrishna Industries Limited,EQ,27-JAN-2006,2
208,BALMLAWRIE.NS,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10
209,BALPHARMA.NS,Bal Pharma Limited,EQ,08-MAY-2006,10
210,BALRAMCHIN.NS,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1
211,BANARBEADS.NS,Banaras Beads Limited,EQ,07-JUL-1995,10
212,BANARISUG.NS,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10
213,BANCOINDIA.NS,Banco Products (I) Limited,EQ,22-DEC-2006,2
214,BANDHANBNK.NS,Bandhan Bank Limited,EQ,27-MAR-2018,10
215,BANG.NS,Bang Overseas Limited,BE,20-FEB-2008,10
216,BANKA.NS,Banka BioLoo Limited,BE,29-OCT-2020,10
217,BANKBARODA.NS,Bank of Baroda,EQ,19-FEB-1997,2
218,BANKINDIA.NS,Bank of India,EQ,30-APR-1997,10
219,BANSWRAS.NS,Banswara Syntex Limited,EQ,11-APR-2007,5
220,BARBEQUE.NS,Barbeque Nation Hospitality Limited,EQ,07-APR-2021,5
221,BASF.NS,BASF India Limited,EQ,17-MAY-1995,10
222,BASML.NS,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,5
223,BATAINDIA.NS,Bata India Limited,EQ,18-JUN-2003,5
224,BAYERCROP.NS,Bayer Cropscience Limited,EQ,08-JAN-2010,10
225,BBL.NS,Bharat Bijlee Limited,EQ,21-NOV-2006,10
226,BBOX.NS,Black Box Limited,EQ,22-JUL-2003,2
227,BBTC.NS,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2
228,BBTCL.NS,B&B Triplewall Containers Limited,EQ,23-NOV-2022,10
229,BCG.NS,Brightcom Group Limited,EQ,08-MAY-2015,2
230,BCLIND.NS,Bcl Industries Limited,EQ,04-MAR-2021,1
231,BCONCEPTS.NS,Brand Concepts Limited,BE,11-JAN-2022,10
232,BDL.NS,Bharat Dynamics Limited,EQ,23-MAR-2018,10
233,BEARDSELL.NS,Beardsell Limited,BE,13-JAN-2015,2
234,BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,EQ,24-DEC-2020,10
235,BEDMUTHA.NS,Bedmutha Industries Limited,BE,14-OCT-2010,10
236,BEL.NS,Bharat Electronics Limited,EQ,19-JUL-2000,1
237,BEML.NS,BEML Limited,EQ,05-NOV-2003,10
238,BEPL.NS,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,1
239,BERGEPAINT.NS,Berger Paints (I) Limited,EQ,24-NOV-1999,1
240,BFINVEST.NS,BF Investment Limited,EQ,14-JAN-2011,5
241,BFUTILITIE.NS,BF Utilities Limited,EQ,03-MAY-2007,5
242,BGRENERGY.NS,BGR Energy Systems Limited,BE,03-JAN-2008,10
243,BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,EQ,18-OCT-2021,10
244,BHAGERIA.NS,Bhageria Industries Limited,EQ,02-MAR-2016,5
245,BHAGYANGR.NS,Bhagyanagar India Limited,EQ,17-MAY-2017,2
246,BHANDARI.NS,Bhandari Hosiery Exports Limited,EQ,30-JAN-2017,1
247,BHARATFORG.NS,Bharat Forge Limited,EQ,04-APR-2003,2
248,BHARATGEAR.NS,Bharat Gears Limited,EQ,03-APR-1996,10
249,BHARATRAS.NS,Bharat Rasayan Limited,EQ,11-OCT-1995,10
250,BHARATWIRE.NS,Bharat Wire Ropes Limited,BE,01-APR-2016,10
251,BHARTIARTL.NS,Bharti Airtel Limited,EQ,15-FEB-2002,5
252,BHEL.NS,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2
253,BIGBLOC.NS,Bigbloc Construction Limited,EQ,02-SEP-2016,2
254,BIKAJI.NS,Bikaji Foods International Limited,EQ,16-NOV-2022,1
255,BIL.NS,Bhartiya International Limited,BE,12-APR-2000,10
256,BINANIIND.NS,Binani Industries Limited,BE,27-SEP-2006,10
257,BIOCON.NS,Biocon Limited,EQ,07-APR-2004,5
258,BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-JUN-1996,10
259,BIRLACABLE.NS,Birla Cable Limited,EQ,06-DEC-1995,10
260,BIRLACORPN.NS,Birla Corporation Limited,EQ,12-APR-1995,10
261,BIRLAMONEY.NS,Aditya Birla Money Limited,BE,07-FEB-2008,1
262,BKMINDST.NS,Bkm Industries Limited,BZ,30-MAR-2015,1
263,BLAL.NS,BEML Land Assets Limited,EQ,19-APR-2023,10
264,BLBLIMITED.NS,BLB Limited,BE,31-MAY-2000,1
265,BLISSGVS.NS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,1
266,BLKASHYAP.NS,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,1
267,BLS.NS,BLS International Services Limited,EQ,14-JUN-2016,1
268,BLSE.NS,BLS E-Services Limited,EQ,06-FEB-2024,10
269,BLUECHIP.NS,Blue Chip India Limited,BE,12-MAR-1997,2
270,BLUEDART.NS,Blue Dart Express Limited,EQ,12-DEC-2002,10
271,BLUEJET.NS,Blue Jet Healthcare Limited,EQ,01-NOV-2023,2
272,BLUESTARCO.NS,Blue Star Limited,EQ,15-JUN-2000,2
273,BODALCHEM.NS,Bodal Chemicals Limited,EQ,22-AUG-2011,2
274,BOHRAIND.NS,Bohra Industries Limited,BE,27-OCT-2022,10
275,BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,2
276,BOROLTD.NS,Borosil Limited,EQ,22-JUL-2020,1
277,BORORENEW.NS,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,1
278,BOSCHLTD.NS,Bosch Limited,EQ,12-MAY-2003,10
279,BPCL.NS,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10
280,BPL.NS,BPL Limited,EQ,14-JUN-1995,10
281,BRIGADE.NS,Brigade Enterprises Limited,EQ,31-DEC-2007,10
282,BRITANNIA.NS,Britannia Industries Limited,EQ,05-NOV-1998,1
283,BRNL.NS,Bharat Road Network Limited,EQ,18-SEP-2017,10
284,BROOKS.NS,Brooks Laboratories Limited,EQ,05-SEP-2011,10
285,BSE.NS,BSE Limited,EQ,03-FEB-2017,2
286,BSHSL.NS,Bombay Super Hybrid Seeds Limited,EQ,28-OCT-2020,1
287,BSL.NS,BSL Limited,EQ,27-JUL-1995,10
288,BSOFT.NS,BIRLASOFT LIMITED,EQ,24-NOV-1999,2
289,BTML.NS,Bodhi Tree Multimedia Limited,EQ,15-FEB-2023,10
290,BURNPUR.NS,Burnpur Cement Limited,EQ,03-JAN-2008,10
291,BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,EQ,28-APR-2014,10
292,BVCL.NS,Barak Valley Cements Limited,BE,23-NOV-2007,10
293,BYKE.NS,The Byke Hospitality Ltd,EQ,15-APR-2015,10
294,CALSOFT.NS,California Software Company Limited,BE,28-JUN-2000,10
295,CAMLINFINE.NS,Camlin Fine Sciences Limited,EQ,20-JAN-2015,1
296,CAMPUS.NS,Campus Activewear Limited,EQ,09-MAY-2022,5
297,CAMS.NS,Computer Age Management Services Limited,EQ,07-MAY-2021,10
298,CANBK.NS,Canara Bank,EQ,23-DEC-2002,10
299,CANFINHOME.NS,Can Fin Homes Limited,EQ,10-MAY-1995,2
300,CANTABIL.NS,Cantabil Retail India Limited,EQ,12-OCT-2010,2
301,CAPACITE.NS,Capacit'e Infraprojects Limited,EQ,25-SEP-2017,10
302,CAPITALSFB.NS,Capital Small Finance Bank Limited,EQ,14-FEB-2024,10
303,CAPLIPOINT.NS,Caplin Point Laboratories Limited,EQ,23-JUN-2014,2
304,CAPTRUST.NS,Capital Trust Limited,EQ,16-JAN-2017,10
305,CARBORUNIV.NS,Carborundum Universal Limited,EQ,03-APR-1996,1
306,CAREERP.NS,Career Point Limited,BE,06-OCT-2010,10
307,CARERATING.NS,CARE Ratings Limited,EQ,26-DEC-2012,10
308,CARTRADE.NS,Cartrade Tech Limited,EQ,20-AUG-2021,10
309,CARYSIL.NS,CARYSIL LIMITED,EQ,14-JAN-2021,2
310,CASTROLIND.NS,Castrol India Limited,EQ,14-MAR-2014,5
311,CCHHL.NS,Country Club Hospitality & Holidays Limited,BE,03-FEB-2015,2
312,CCL.NS,CCL Products (India) Limited,EQ,07-JUN-2004,2
313,CDSL.NS,Central Depository Services (India) Limited,EQ,30-JUN-2017,10
314,CEATLTD.NS,CEAT Limited,EQ,01-FEB-2008,10
315,CELEBRITY.NS,Celebrity Fashions Limited,BE,12-JAN-2006,10
316,CELLO.NS,Cello World Limited,EQ,06-NOV-2023,5
317,CENTENKA.NS,Century Enka Limited,EQ,10-MAY-1995,10
318,CENTEXT.NS,Century Extrusions Limited,BE,20-JUL-2004,1
319,CENTRALBK.NS,Central Bank of India,EQ,21-AUG-2007,10
320,CENTRUM.NS,Centrum Capital Limited,EQ,04-APR-2018,1
321,CENTUM.NS,Centum Electronics Limited,EQ,05-OCT-2007,10
322,CENTURYPLY.NS,Century Plyboards (India) Limited,EQ,23-MAR-2006,1
323,CENTURYTEX.NS,Century Textiles & Industries Limited,EQ,27-JUN-2003,10
324,CERA.NS,Cera Sanitaryware Limited,EQ,02-NOV-2007,5
325,CEREBRAINT.NS,Cerebra Integrated Technologies Limited,BE,26-JUN-2013,10
326,CESC.NS,CESC Limited,EQ,08-FEB-1995,1
327,CGCL.NS,Capri Global Capital Limited,EQ,29-OCT-2010,2
328,CGPOWER.NS,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2
329,CHALET.NS,Chalet Hotels Limited,EQ,07-FEB-2019,10
330,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10
331,CHEMBOND.NS,Chembond Chemicals Ltd,EQ,20-NOV-2019,5
332,CHEMCON.NS,Chemcon Speciality Chemicals Limited,EQ,01-OCT-2020,10
333,CHEMFAB.NS,Chemfab Alkalis Limited,EQ,25-APR-2018,10
334,CHEMPLASTS.NS,Chemplast Sanmar Limited,EQ,24-AUG-2021,5
335,CHENNPETRO.NS,Chennai Petroleum Corporation Limited,EQ,07-JUN-2000,10
336,CHEVIOT.NS,Cheviot Company Limited,EQ,20-JUN-2022,10
337,CHOICEIN.NS,Choice International Limited,EQ,08-APR-2022,10
338,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2
339,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,1
340,CIEINDIA.NS,CIE Automotive India Limited,EQ,30-AUG-2007,10
341,CIGNITITEC.NS,Cigniti Technologies Limited,EQ,13-OCT-2014,10
342,CINELINE.NS,Cineline India Limited,EQ,13-JUN-2012,5
343,CINEVISTA.NS,Cinevista Limited,EQ,02-MAY-2000,2
344,CIPLA.NS,Cipla Limited,EQ,08-FEB-1995,2
345,CLEAN.NS,Clean Science and Technology Limited,EQ,19-JUL-2021,1
346,CLEDUCATE.NS,CL Educate Limited,EQ,31-MAR-2017,5
347,CLSEL.NS,Chaman Lal Setia Exports Limited,EQ,12-MAY-2021,2
348,CMSINFO.NS,CMS Info Systems Limited,EQ,31-DEC-2021,10
